annee_numero_de_tirage,jour_de_tirage,date_de_tirage,date_de_forclusion,boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance,combinaison_gagnante_en_ordre_croissant,nombre_de_gagnant_au_rang1,rapport_du_rang1,nombre_de_gagnant_au_rang2,rapport_du_rang2,nombre_de_gagnant_au_rang3,rapport_du_rang3,nombre_de_gagnant_au_rang4,rapport_du_rang4,nombre_de_gagnant_au_rang5,rapport_du_rang5,nombre_de_gagnant_au_rang6,rapport_du_rang6,nombre_de_gagnant_au_rang7,rapport_du_rang7,nombre_de_gagnant_au_rang8,rapport_du_rang8,nombre_de_gagnant_au_rang9,rapport_du_rang9,nombre_de_codes_gagnants,rapport_codes_gagnants,codes_gagnants,boule_1_second_tirage,boule_2_second_tirage,boule_3_second_tirage,boule_4_second_tirage,boule_5_second_tirage,promotion_second_tirage,combinaison_gagnant_second_tirage_en_ordre_croissant,nombre_de_gagnant_au_rang_1_second_tirage,rapport_du_rang1_second_tirage,nombre_de_gagnant_au_rang_2_second_tirage,rapport_du_rang2_second_tirage,nombre_de_gagnant_au_rang_3_second_tirage,rapport_du_rang3_second_tirage,nombre_de_gagnant_au_rang_4_second_tirage,rapport_du_rang4_second_tirage,numero_jokerplus,devise
20222069,MERCREDI,08/06/2022,08/08/2022,38,33,39,27,26,5,26-27-33-38-39+5,,9000000,,193707.8,35,6885.3,294,580,1537,66.3,13357,27.4,27640,10.3,229116,4.9,458590,2.2,10,20000,"L 3569 7747,E 8923 2931,L 9534 1147,B 4059 9207,A 2597 5273,B 3056 8171,N 0976 0070,D 1488 7173,H 5595 0839,G 5832 5759",17,30,46,47,49,,17-30-46-47-49,,134532,180,881.2,9382,43.4,139445,3,,eur
20222068,LUNDI,06/06/2022,06/08/2022,20,5,22,23,18,5,5-18-20-22-23+5,,8000000,1,140874.3,65,528.9,462,268.4,2891,25.6,18057,14.7,32670,6.3,227791,3.6,321175,2.2,10,20000,"O 8568 2833,H 8921 0028,U 3430 0305,H 0222 7072,V 1613 3036,H 2942 6581,M 1353 6890,Q 2935 6782,L 4382 5634,K 1831 8210",1,4,16,18,49,,1-4-16-18-49,,100000,226,414.2,9792,24.5,130683,3,,eur
20222067,SAMEDI,04/06/2022,04/08/2022,9,23,17,42,6,5,6-9-17-23-42+5,,7000000,2,123150.6,90,667.9,833,260.2,4016,32.2,31871,14.6,51073,7.1,394132,3.6,573964,2.2,10,20000,"J 0028 9364,N 8367 5068,L 3578 9052,S 9268 2991,O 9071 8430,I 1162 5811,B 8895 6747,T 8127 8656,J 9334 4019,A 1393 8844",13,37,42,43,44,,13-37-42-43-44,,173385,236,826.6,13275,37.7,190866,3,,eur
20222066,MERCREDI,01/06/2022,01/08/2022,33,4,35,22,2,7,2-4-22-33-35+7,,6000000,1,158285.4,51,757.5,321,434,2339,35.6,14934,20,36148,6.4,227104,4,510910,2.2,10,20000,"L 2910 6112,J 8004 8752,I 7987 4468,G 5441 2970,P 9566 0579,O 9383 0769,H 5405 8084,M 0779 1180,B 4707 9120,Q 3343 2169",3,5,6,14,24,,3-5-6-14-24,,124798,401,241.8,15294,16.3,189064,3,,eur
20222065,LUNDI,30/05/2022,30/07/2022,22,12,38,13,14,2,12-13-14-22-38+2,,5000000,2,78568.2,32,1198.5,304,455,1440,57.4,16788,17.7,22168,10.4,235756,3.8,243085,2.2,10,20000,"F 5905 5161,S 2820 2615,L 5632 4023,G 9040 0899,F 7407 6763,D 9281 6382,O 0693 3305,S 4742 0538,S 5660 0188,L 4976 4560",9,19,29,31,38,,9-19-29-31-38,3,34379,248,400.9,10080,25.3,133311,3,,eur
20222064,SAMEDI,28/05/2022,28/07/2022,20,27,21,26,7,7,7-20-21-26-27+7,,4000000,2,105230.2,117,439,577,321.1,5211,21.2,27485,14.4,64995,4.7,362236,3.3,631907,2.2,10,20000,"B 1200 7251,D 0941 1837,H 6751 9197,K 4159 1897,S 2032 2476,D 0187 3913,Q 5598 3017,C 0532 6252,I 7048 6720,L 1606 8984",1,8,11,36,44,,1-8-11-36-44,1,160691,309,509.9,14643,27.6,204527,3,,eur
20222063,MERCREDI,25/05/2022,25/07/2022,37,30,24,27,45,10,24-27-30-37-45+10,,3000000,,191450.3,28,8506.3,307,548.9,1266,79.5,14238,25.4,19846,14.2,222027,5,284114,2.2,10,20000,"H 8833 3946,K 1924 0165,A 0680 1376,K 5053 3529,P 4886 6205,K 6882 6616,A 3462 4191,W 2769 1279,T 8594 3279,M 6031 2924",8,9,24,31,39,,8-9-24-31-39,1,121356,200,599.6,10278,30,153366,3,,eur
20222062,LUNDI,23/05/2022,23/07/2022,30,26,48,41,47,6,26-30-41-47-48+6,,2000000,,140902,16,10955.8,161,770.4,1001,74,9153,29.1,15501,13.3,143010,5.7,263242,2.2,10,20000,"I 7989 1398,C 1913 8340,P 8443 2289,M 1602 9743,R 3340 2032,T 9329 1772,T 7658 0452,J 6880 9779,F 4162 5295,P 0016 3885",5,13,18,43,49,,5-13-18-43-49,2,50000,229,383.4,9695,23.2,134872,3,,eur
20222061,SAMEDI,21/05/2022,21/07/2022,1,12,41,7,21,4,1-7-12-21-41+4,1,2000000,3,81147.9,69,861.1,772,277.6,3245,39.4,31828,14.4,41150,8.7,388396,3.6,458596,2.2,10,20000,"B 9365 1870,I 8284 8883,A 6659 3699,I 1066 0837,K 5639 5053,I 5066 4000,F 7637 3174,D 9297 2203,V 8170 4134,C 5041 1573",13,29,32,44,45,,13-29-32-44-45,2,81385,299,590.3,13226,34.3,187079,3,,eur
20222060,MERCREDI,18/05/2022,18/07/2022,14,23,22,45,36,7,14-22-23-36-45+7,1,16000000,2,95086.8,62,748.6,433,386.6,2683,37.2,17818,20.2,40797,6.8,263973,4.2,591366,2.2,10,20000,"H 2936 9424,C 8120 8754,W 2740 4302,N 9289 1303,H 7300 1999,U 2120 0821,M 4745 2011,V 5244 8502,G 7760 4227,U 3547 0283",3,6,19,27,45,,3-6-19-27-45,1,143139,394,320.5,15679,20.7,198910,3,,eur
